episode_i,targets_Qvalue,time-step,episode_reward,train/loss,policy_loss,value_loss,entropy
4,,9,,,,,4.3
4,,10,,,,,2.49
4,,11,,,,,3.65
4,,12,,,,,1.52
4,,13,,,,,1.1
4,,14,,,,,1.03
4,,15,,,,,1.97
4,,16,,,,,1.41
4,,17,,,,,0.48
4,,18,,,,,0.55
4,,19,,,,,0.22
4,,20,,,,,4.63
4,,21,,,,,2.2
4,,22,,,,,3.61
4,,23,,,,,1.54
4,,24,,,,,3
4,,25,,,,,1.88
4,,26,,,,,3.57
4,,27,,,,,2.48
4,,28,,,,,4.52
4,,29,,,,,0.63
4,,30,,,,,0.1
4,,31,,,,,2.77
4,,32,,,,,3.13
4,,33,,,,,1.04
4,,34,,,,,1.86
4,,35,,,,,3.29
4,,36,,,,,2.65
4,,37,,,,,3.63
4,,38,,,,,3.02
4,,39,,,,,4.89
4,,40,,,,,2.94
4,,41,,,,,4.97
4,,42,4.77,,5.55,3.86,2
5,,0,,,,,3.63
5,,1,,,,,0.45
5,,2,,,,,0.31
5,,3,,,,,3.98
5,,4,,,,,1.84
5,,5,,,,,1.13
5,,6,,,,,3.82
5,,7,,,,,4.9
5,,8,,,,,0.72
5,,9,,,,,3.09
5,,10,,,,,3.79
5,,11,,,,,4.34
5,,12,,,,,4.26
5,,13,,,,,3.97
5,,14,,,,,4.87
5,,15,,,,,4.41
5,,16,,,,,1.49
5,,17,,,,,4.48
5,,18,,,,,4.49
5,,19,,,,,4.9
5,,20,,,,,3.65
5,,21,,,,,1
5,,22,,,,,2.2
5,,23,,,,,0.36
5,,24,,,,,1.83
5,,25,,,,,3.83
5,,26,,,,,4.29
5,,27,,,,,0.03
5,,28,,,,,2.59
5,,29,,,,,4.69
5,,30,,,,,4.99
5,,31,,,,,0.94
5,,32,,,,,0.67
5,,33,,,,,0.14
5,,34,,,,,1.06
5,,35,,,,,4.05
5,,36,,,,,1.08
5,,37,,,,,2.51
5,,38,,,,,3.91
5,,39,,,,,4.86
5,,40,,,,,0.3
5,,41,,,,,4.4
5,,42,,,,,3.88
5,,43,,,,,4.92
5,,44,-3.08,,1.45,7.26,4.94
6,,0,,,,,0.35
6,,1,,,,,1.58
6,,2,,,,,4.86
6,,3,,,,,4.03
6,,4,,,,,3.62
6,,5,,,,,4.37
6,,6,,,,,4.95
6,,7,,,,,0.32
6,,8,,,,,0.15
6,,9,,,,,3.88
6,,10,,,,,2.84
6,,11,,,,,2.03
6,,12,,,,,4.83
6,,13,,,,,2.84
6,,14,,,,,3.56
6,,15,,,,,0.38
6,,16,,,,,4.65
6,,17,,,,,2.3
6,,18,,,,,0.2
6,,19,,,,,4.52
6,,20,,,,,1.07
6,,21,,,,,0.91
6,,22,,,,,2.49
6,,23,,,,,1.55
6,,24,,,,,3.73
6,,25,,,,,2.86
6,,26,,,,,3.11
6,,27,,,,,3.76
6,,28,,,,,1.06
6,,29,,,,,4.77
6,,30,,,,,0.76
6,,31,,,,,4.17
6,,32,,,,,0.67
6,,33,,,,,0.13
6,,34,,,,,4.88
6,,35,,,,,0.83
6,,36,,,,,1.45
6,,37,,,,,2.24
6,,38,,,,,3.1
6,,39,4.65,,4.18,5.24,3.6
7,,0,,,,,4.23
7,,1,,,,,4.48
7,,2,,,,,0.01
7,,3,,,,,1.08
7,,4,,,,,1.27
7,,5,,,,,2.86
7,,6,,,,,4.36
7,,7,,,,,4.94
7,,8,,,,,0.77
7,,9,,,,,3.33
7,,10,,,,,0.75
7,,11,,,,,3.95
7,,12,,,,,2.73
7,,13,,,,,1.89
7,,14,,,,,2.1
7,,15,,,,,4.18
7,,16,,,,,1.12
7,,17,,,,,1.16
7,,18,,,,,2.86
7,,19,,,,,4.55
7,,20,,,,,2.04
7,,21,,,,,4.63
7,,22,,,,,4.37
7,,23,,,,,0.74
7,,24,,,,,1.85
7,,25,,,,,4.54
7,,26,,,,,2.04
7,,27,,,,,4.27
7,,28,,,,,3.17
7,,29,,,,,1.82
7,,30,,,,,3.21
7,,31,,,,,0.96
7,,32,,,,,1.87
7,,33,,,,,3.99
7,,34,,,,,1.52
7,,35,,,,,3.55
7,,36,,,,,1.33
7,,37,,,,,2.42
7,,38,,,,,0.38
7,,39,,,,,4.34
7,,40,,,,,1.91
7,,41,,,,,0.3
7,,42,,,,,4.87
7,,43,-1.12,,5.48,1.69,1.33
8,,0,,,,,3.55
8,,1,,,,,1.03
8,,2,,,,,0.97
8,,3,,,,,2.35
8,,4,,,,,3.98
8,,5,,,,,3.4
8,,6,,,,,0.3
8,,7,,,,,4.58
8,,8,,,,,0.31
8,,9,,,,,3.06
8,,10,,,,,2.6
8,,11,,,,,1.74
8,,12,,,,,3.23
8,,13,,,,,1.21
8,,14,,,,,1.82
8,,15,,,,,2.65
8,,16,,,,,1.74
8,,17,,,,,1.35
8,,18,,,,,3.64
8,,19,,,,,0.54
8,,20,,,,,0.68
8,,21,,,,,1.15
8,,22,,,,,0.01
8,,23,,,,,3.82
8,,24,,,,,2.33
8,,25,,,,,0.41
8,,26,,,,,3.56
8,,27,,,,,2.28
8,,28,,,,,1.79
8,,29,,,,,2.03
8,,30,,,,,2.43
8,,31,,,,,0.91
8,,32,,,,,3.09
8,,33,,,,,4.79
8,,34,,,,,4.12
8,,35,,,,,0.56
8,,36,4.66,,9.36,8.08,1.44
9,,0,,,,,4.56
9,,1,,,,,3.55
9,,2,,,,,2.67
9,,3,,,,,3.37
9,,4,,,,,1.69
9,,5,,,,,0.83
9,,6,,,,,0.61
9,,7,,,,,0.54
9,,8,,,,,4.26
9,,9,,,,,1.07
9,,10,,,,,2.65
9,,11,,,,,4.22
9,,12,,,,,0.82
9,,13,,,,,1.72
9,,14,,,,,2.59
9,,15,,,,,1.96
9,,16,,,,,3.09
9,,17,,,,,3.04
9,,18,,,,,2.29
9,,19,,,,,3.03
9,,20,,,,,4.57
9,,21,,,,,3.01
9,,22,,,,,4.65
9,,23,,,,,3.83
9,,24,,,,,1.08
9,,25,,,,,2.71
9,,26,,,,,3.07
9,,27,,,,,3.97
9,,28,,,,,1.43
9,,29,,,,,0.01
9,,30,,,,,4.03
9,,31,,,,,0.66
9,,32,,,,,3.25
9,,33,,,,,2.43
9,,34,,,,,0.46
9,,35,,,,,2.94
9,,36,,,,,2.3
9,,37,,,,,2.99
9,,38,,,,,2.01
9,,39,,,,,3.05
9,,40,,,,,1.35
9,,41,,,,,2.41
9,,42,-9.49,,9.49,9.69,3.38
10,,0,,,,,2.89
10,,1,,,,,0.23
10,,2,,,,,0.68
10,,3,,,,,3.75
10,,4,,,,,2.2
10,,5,,,,,4.42
10,,6,,,,,3.14
10,,7,,,,,0.47
10,,8,,,,,0.39
10,,9,,,,,4.88
10,,10,,,,,3.69
10,,11,,,,,3.75
10,,12,,,,,0.67
10,,13,,,,,4.21
10,,14,,,,,2.81
10,,15,,,,,4.33
10,,16,,,,,0.92
10,,17,,,,,1.41
10,,18,,,,,1.19
10,,19,,,,,2.11
10,,20,,,,,2.27
10,,21,,,,,2.14
10,,22,,,,,3.67
10,,23,,,,,4.31
10,,24,,,,,3.44
10,,25,,,,,4.45
10,,26,,,,,3.61
10,,27,,,,,0.69
10,,28,,,,,3.67
10,,29,,,,,1.12
10,,30,,,,,3.95
10,,31,,,,,4.33
10,,32,,,,,0.85
10,,33,,,,,0.56
10,,34,,,,,3.17
10,,35,,,,,2.83
10,,36,,,,,3.87
10,,37,,,,,1.57
10,,38,,,,,3.58
10,,39,,,,,1.62
10,,40,,,,,1.32
10,,41,,,,,3.15
10,,42,,,,,0.95
10,,43,4.95,,7,4.17,4.5
11,,0,,,,,0.56
11,,1,,,,,3.87
11,,2,,,,,1.74
11,,3,,,,,2.3
11,,4,,,,,4.09
11,,5,,,,,3
11,,6,,,,,0.39
11,,7,,,,,0.15
11,,8,,,,,4.92
11,,9,,,,,1.93
11,,10,,,,,2.75
11,,11,,,,,4.85
11,,12,,,,,3.72
11,,13,,,,,0.04
11,,14,,,,,2.15
11,,15,,,,,2.96
11,,16,,,,,1.13
11,,17,,,,,2.48
11,,18,,,,,2.02
11,,19,,,,,3.33
11,,20,,,,,0.28
11,,21,,,,,1.59
11,,22,,,,,0.16
11,,23,,,,,4.04
11,,24,,,,,3.16
11,,25,,,,,0.3
11,,26,,,,,3.14
11,,27,,,,,1.35
11,,28,,,,,3.62
11,,29,,,,,4.47
11,,30,,,,,2.12
11,,31,,,,,4.84
11,,32,,,,,3.43
11,,33,,,,,3.46
11,,34,,,,,4.8
11,,35,,,,,4.73
11,,36,,,,,1.97
11,,37,,,,,0.36
11,,38,,,,,0.6
11,,39,,,,,0.72
11,,40,,,,,2.05
11,,41,,,,,4.18
11,,42,-2.47,,4.11,4.85,2.62
12,,0,,,,,2.13
12,,1,,,,,1.58
12,,2,,,,,4.72
12,,3,,,,,1.14
12,,4,,,,,2.8
12,,5,,,,,4.44
12,,6,,,,,1.17
12,,7,,,,,4.86
12,,8,,,,,4.99
12,,9,,,,,2.24
12,,10,,,,,4.14
12,,11,,,,,0.55
12,,12,,,,,2.71
12,,13,,,,,2.09
12,,14,,,,,2.5
12,,15,,,,,1.1
12,,16,,,,,0.23
12,,17,,,,,1.97
12,,18,,,,,0.08
12,,19,,,,,2.07
12,,20,,,,,0.91
12,,21,,,,,1.11
12,,22,,,,,1.7
12,,23,,,,,3.88
12,,24,,,,,4.62
12,,25,,,,,4.89
12,,26,,,,,2.44
12,,27,,,,,0.62
12,,28,,,,,1.98
12,,29,,,,,4.91
12,,30,,,,,4.18
12,,31,,,,,1.36
12,,32,,,,,0.23
12,,33,,,,,1.74
12,,34,,,,,1.37
12,,35,,,,,1.16
12,,36,,,,,0.24
12,,37,,,,,3.14
12,,38,,,,,2.61
12,,39,-6.58,,5.66,0.71,2.62
13,,0,,,,,5
13,,1,,,,,1.55
13,,2,,,,,3.05
13,,3,,,,,0.66
13,,4,,,,,4.55
13,,5,,,,,4.61
13,,6,,,,,0.74
13,,7,,,,,1.22
13,,8,,,,,2.45
13,,9,,,,,3.24
13,,10,,,,,3.53
13,,11,,,,,4.7
13,,12,,,,,1.27
13,,13,,,,,3.62
13,,14,,,,,0.11
13,,15,,,,,0.42
13,,16,,,,,1.3
13,,17,,,,,3.72
13,,18,,,,,1.01
13,,19,,,,,3.37
13,,20,,,,,1.81
13,,21,,,,,4.26
13,,22,,,,,2.31
13,,23,,,,,2.31
13,,24,,,,,2.19
13,,25,,,,,1.43
13,,26,,,,,4.88
13,,27,,,,,4.45
13,,28,,,,,1.42
13,,29,,,,,3.27
13,,30,,,,,0.5
13,,31,,,,,1.25
13,,32,,,,,3.79
13,,33,,,,,0.29
13,,34,,,,,1.22
13,,35,,,,,1.53
13,,36,,,,,0.99
13,,37,,,,,3.3
13,,38,,,,,4.5
13,,39,3.49,,3.69,0.95,3.61
14,,0,,,,,2.49
14,,1,,,,,3.14
14,,2,,,,,4.51
14,,3,,,,,4.32
14,,4,,,,,4.25
14,,5,,,,,1.39
14,,6,,,,,1.98
14,,7,,,,,4.53
14,,8,,,,,3.52
14,,9,,,,,2.28
14,,10,,,,,4.66
14,,11,,,,,2.66
14,,12,,,,,2.11
14,,13,,,,,3.28
14,,14,,,,,0
14,,15,,,,,3
14,,16,,,,,1.54
14,,17,,,,,4.96
14,,18,,,,,4.18
14,,19,,,,,0.15
14,,20,,,,,2.52
14,,21,,,,,3.88
14,,22,,,,,1.99
14,,23,,,,,3.47
14,,24,,,,,0.54
14,,25,,,,,4.81
14,,26,,,,,2.22
14,,27,,,,,0.14
14,,28,,,,,3.63
14,,29,,,,,3.05
14,,30,,,,,3.26
14,,31,,,,,1.41
14,,32,,,,,2.16
14,,33,,,,,0.38
14,,34,,,,,3.28
14,,35,,,,,1.87
14,,36,,,,,3.2
14,,37,-7.46,,8.39,1.14,3.07
15,,0,,,,,2.86
15,,1,,,,,2.26
15,,2,,,,,4.06
15,,3,,,,,3.92
15,,4,,,,,2.51
15,,5,,,,,0.46
15,,6,,,,,3.98
15,,7,,,,,0.09
15,,8,,,,,0.56
15,,9,,,,,3.03
15,,10,,,,,1.51
15,,11,,,,,3.52
15,,12,,,,,1.81
15,,13,,,,,1.25
15,,14,,,,,0.97
15,,15,,,,,4.86
15,,16,,,,,2.87
15,,17,,,,,3.4
15,,18,,,,,2.71
15,,19,,,,,2.86
15,,20,,,,,4.7
15,,21,,,,,2.07
15,,22,,,,,0.18
15,,23,,,,,4.39
15,,24,,,,,3.65
15,,25,,,,,3.9
15,,26,,,,,3.19
15,,27,,,,,4.07
15,,28,,,,,1.46
15,,29,,,,,2.99
15,,30,,,,,1.16
15,,31,,,,,4.33
15,,32,,,,,2.44
15,,33,,,,,3.46
15,,34,,,,,1.35
15,,35,,,,,4.38
15,,36,,,,,2.62
15,,37,,,,,0.56
15,,38,3.54,,3.71,2.7,0.99
16,,0,,,,,2.69
16,,1,,,,,4.48
16,,2,,,,,2.71
16,,3,,,,,0.68
16,,4,,,,,4.16
16,,5,,,,,2.02
16,,6,,,,,3.08
16,,7,,,,,4.84
16,,8,,,,,2.15
16,,9,,,,,1.49
16,,10,,,,,0.84
16,,11,,,,,1.42
16,,12,,,,,1.76
16,,13,,,,,1.54
16,,14,,,,,4.6
16,,15,,,,,4.84
16,,16,,,,,4.95
16,,17,,,,,2.96
16,,18,,,,,1.06
16,,19,,,,,0.62
16,,20,,,,,2.98
16,,21,,,,,3.91
16,,22,,,,,3.78
16,,23,,,,,3.81
16,,24,,,,,4.16
16,,25,,,,,2.29
16,,26,,,,,4.37
16,,27,,,,,1.98
16,,28,,,,,1.7
16,,29,,,,,2.39
16,,30,,,,,4.19
16,,31,,,,,4.6
16,,32,,,,,2.54
16,,33,,,,,3.98
16,,34,,,,,3.58
16,,35,,,,,4.81
16,,36,,,,,3.54
16,,37,,,,,4.48
16,,38,,,,,4.8
16,,39,,,,,0.15
16,,40,,,,,3.39
16,,41,,,,,1.33
16,,42,,,,,4.33
16,,43,-0.79,,7.91,4.61,4.02
17,,0,,,,,0.56
17,,1,,,,,0.45
17,,2,,,,,2.11
17,,3,,,,,2.48
17,,4,,,,,4.17
17,,5,,,,,0.59
17,,6,,,,,3.3
17,,7,,,,,3.05
17,,8,,,,,4.97
17,,9,,,,,2.56
17,,10,,,,,0.35
17,,11,,,,,4.79
17,,12,,,,,0.52
17,,13,,,,,0.5
17,,14,,,,,1.9
17,,15,,,,,1.78
17,,16,,,,,2.65
17,,17,,,,,0.35
17,,18,,,,,0.82
17,,19,,,,,4.06
17,,20,,,,,0.35
17,,21,,,,,0.85
17,,22,,,,,2.01
17,,23,,,,,0.01
17,,24,,,,,0.13
17,,25,,,,,3.98
17,,26,,,,,2.3
17,,27,,,,,2.48
17,,28,,,,,1.84
17,,29,,,,,3.71
17,,30,,,,,3.05
17,,31,,,,,4.44
17,,32,,,,,1.43
17,,33,,,,,3.4
17,,34,,,,,1.84
17,,35,,,,,4.81
17,,36,,,,,2.63
17,,37,,,,,3.9
17,,38,,,,,0.37
17,,39,-5.48,,8.86,8.27,2.64
18,,0,,,,,4.55
18,,1,,,,,1.41
18,,2,,,,,0.46
18,,3,,,,,0.41
18,,4,,,,,4.24
18,,5,,,,,2.89
18,,6,,,,,4.51
18,,7,,,,,0.39
18,,8,,,,,4.79
18,,9,,,,,2.21
18,,10,,,,,0.42
18,,11,,,,,2.27
18,,12,,,,,4.92
18,,13,,,,,1.18
18,,14,,,,,2.28
18,,15,,,,,4.58
18,,16,,,,,1.19
18,,17,,,,,2.41
18,,18,,,,,2.44
18,,19,,,,,1.75
18,,20,,,,,2.73
18,,21,,,,,1.51
18,,22,,,,,1.16
18,,23,,,,,3.2
18,,24,,,,,4.81
18,,25,,,,,4.47
18,,26,,,,,1.96
18,,27,,,,,3.8
18,,28,,,,,1.61
18,,29,,,,,0.08
18,,30,,,,,0.28
18,,31,,,,,4.5
18,,32,,,,,4.31
18,,33,,,,,1.3
18,,34,,,,,4.12
18,,35,,,,,1.13
18,,36,,,,,3.8
18,,37,,,,,4.5
18,,38,,,,,2.74
18,,39,,,,,2.7
18,,40,,,,,1.53
18,,41,,,,,2.71
18,,42,,,,,0.86
18,,43,-10.61,,0.06,3.49,4.29
19,,0,,,,,2.4
19,,1,,,,,0.76
19,,2,,,,,0.75
19,,3,,,,,0.12
19,,4,,,,,1.41
19,,5,,,,,4.43
19,,6,,,,,0.06
19,,7,,,,,4.43
19,,8,,,,,4.46
19,,9,,,,,1.45
19,,10,,,,,3.81
19,,11,,,,,2.65
19,,12,,,,,0.31
19,,13,,,,,1
19,,14,,,,,3.42
19,,15,,,,,2.89
19,,16,,,,,1.6
19,,17,,,,,0.02
19,,18,,,,,1.55
19,,19,,,,,1.08
19,,20,,,,,1.93
19,,21,,,,,1.69
19,,22,,,,,2.02
19,,23,,,,,4.13
19,,24,,,,,4.42
19,,25,,,,,3.81
19,,26,,,,,4.85
19,,27,,,,,1.76
19,,28,,,,,1.48
19,,29,,,,,4.73
19,,30,,,,,0.03
19,,31,,,,,3.95
19,,32,,,,,2.47
19,,33,,,,,2.31
19,,34,,,,,1.35
19,,35,,,,,4.36
19,,36,,,,,2.41
19,,37,1.12,,2.12,2.01,1.17
20,,0,,,,,2.05
20,,1,,,,,1.39
20,,2,,,,,4.68
20,,3,,,,,1.38
20,,4,,,,,1.5
20,,5,,,,,3.47
20,,6,,,,,3.14
20,,7,,,,,0.22
20,,8,,,,,3.44
20,,9,,,,,4.48
20,,10,,,,,4.55
20,,11,,,,,4.35
20,,12,,,,,2.13
20,,13,,,,,0.99
20,,14,,,,,1.8
20,,15,,,,,3.67
20,,16,,,,,4.26
20,,17,,,,,3.76
20,,18,,,,,3.36
20,,19,,,,,2.97
20,,20,,,,,4.7
20,,21,,,,,2.11
20,,22,,,,,2.8
20,,23,,,,,1.67
20,,24,,,,,3.33
20,,25,,,,,1.88
20,,26,,,,,4.59
20,,27,,,,,3.87
20,,28,,,,,0.49
20,,29,,,,,3.39
20,,30,,,,,4.24
20,,31,,,,,3.9
20,,32,,,,,2.76
20,,33,,,,,2.89
20,,34,,,,,0.77
20,,35,,,,,1.08
20,,36,,,,,3.1
20,,37,-1.8,,1.32,4.54,3.67
21,,0,,,,,2.7
21,,1,,,,,2.44
21,,2,,,,,2.53
21,,3,,,,,1.87
21,,4,,,,,4.48
21,,5,,,,,1
21,,6,,,,,2.02
21,,7,,,,,3.88
21,,8,,,,,1.79
21,,9,,,,,1.46
21,,10,,,,,0.91
21,,11,,,,,3.31
21,,12,,,,,0.69
21,,13,,,,,2.34
21,,14,,,,,0.84
21,,15,,,,,0.61
21,,16,,,,,1.57
21,,17,,,,,0.26
21,,18,,,,,0.86
21,,19,,,,,0.61
21,,20,,,,,4.67
21,,21,,,,,0.68
21,,22,,,,,0.25
21,,23,,,,,2.32
21,,24,,,,,4.12
21,,25,,,,,2.3
21,,26,,,,,1.88
21,,27,,,,,1.44
21,,28,,,,,4.85
21,,29,,,,,0.84
21,,30,,,,,2.01
21,,31,,,,,3.2
21,,32,,,,,0.01
21,,33,,,,,2.07
21,,34,,,,,1.33
21,,35,,,,,2
21,,36,,,,,3.67
21,,37,,,,,4.4
21,,38,,,,,2.84
21,,39,,,,,4.24
21,,40,3.27,,7.22,8.14,1.91
22,,0,,,,,4.54
22,,1,,,,,0.91
22,,2,,,,,0.19
22,,3,,,,,2.29
22,,4,,,,,2.71
22,,5,,,,,3.89
22,,6,,,,,4.77
22,,7,,,,,0.36
22,,8,,,,,3.12
22,,9,,,,,2.94
22,,10,,,,,0.26
22,,11,,,,,3.23
22,,12,,,,,3
22,,13,,,,,0.91
22,,14,,,,,4.38
22,,15,,,,,3.04
22,,16,,,,,0.11
22,,17,,,,,2.81
22,,18,,,,,3.2
22,,19,,,,,2.07
22,,20,,,,,3.74
22,,21,,,,,3.02
22,,22,,,,,4.2
22,,23,,,,,3.67
22,,24,,,,,4.81
22,,25,,,,,3.76
22,,26,,,,,0.73
22,,27,,,,,3.59
22,,28,,,,,4.65
22,,29,,,,,3.85
22,,30,,,,,0.51
22,,31,,,,,0.69
22,,32,,,,,2.01
22,,33,,,,,3.16
22,,34,,,,,0.66
22,,35,,,,,0.07
22,,36,-0.25,,2.22,3.91,2.43
23,,0,,,,,4.73
23,,1,,,,,4.83
23,,2,,,,,4.68
23,,3,,,,,0.05
23,,4,,,,,3.27
23,,5,,,,,4
23,,6,,,,,3.67
23,,7,,,,,3.06
23,,8,,,,,4.92
23,,9,,,,,4.2
23,,10,,,,,3.16
23,,11,,,,,2.27
23,,12,,,,,3.7
23,,13,,,,,1.87
23,,14,,,,,2.84
23,,15,,,,,1.1
23,,16,,,,,0.06
23,,17,,,,,0.55
23,,18,,,,,2.96
23,,19,,,,,1.85
23,,20,,,,,0.27
23,,21,,,,,4.5
23,,22,,,,,4.64
23,,23,,,,,1.13
23,,24,,,,,2.83
23,,25,,,,,1.32
23,,26,,,,,3.59
23,,27,,,,,2.41
23,,28,,,,,2.23
23,,29,,,,,2.15
23,,30,,,,,3.98
23,,31,,,,,3.67
23,,32,,,,,3.84
23,,33,,,,,4.12
23,,34,,,,,3.04
23,,35,,,,,2.07
23,,36,,,,,4.22
23,,37,,,,,3.74
23,,38,,,,,4.04
23,,39,,,,,0.45
23,,40,,,,,2.98
23,,41,,,,,0.03
23,,42,1.75,,9.11,3.83,0.94
24,,0,,,,,2.15
24,,1,,,,,1.69
24,,2,,,,,2.35
24,,3,,,,,0.2
24,,4,,,,,4.13
24,,5,,,,,3.75
24,,6,,,,,4.25
24,,7,,,,,4.98
24,,8,,,,,1.81
24,,9,,,,,2.47
24,,10,,,,,0.03
24,,11,,,,,3.51
24,,12,,,,,3.27
24,,13,,,,,3.88
24,,14,,,,,1.96
24,,15,,,,,2.81
24,,16,,,,,0.89
24,,17,,,,,1.34
24,,18,,,,,4.59
24,,19,,,,,1.65
24,,20,,,,,0.79
24,,21,,,,,0.19
24,,22,,,,,0.67
24,,23,,,,,1.97
24,,24,,,,,0.57
24,,25,,,,,2.85
24,,26,,,,,1.56
24,,27,,,,,2.85
24,,28,,,,,3.62
24,,29,,,,,2.58
24,,30,,,,,2.2
24,,31,,,,,1.82
24,,32,,,,,4.99
24,,33,,,,,3.76
24,,34,,,,,2.31
24,,35,-4.57,,6.69,8.95,1.72
25,,0,,,,,2.12
25,,1,,,,,2.73
25,,2,,,,,3.59
25,,3,,,,,2.98
25,,4,,,,,0.37
25,,5,,,,,2.88
25,,6,,,,,0.16
25,,7,,,,,1.28
25,,8,,,,,2.22
25,,9,,,,,0.97
25,,10,,,,,3.98
25,,11,,,,,4.69
25,,12,,,,,4.12
25,,13,,,,,4.75
25,,14,,,,,4.87
25,,15,,,,,2.27
25,,16,,,,,0.12
25,,17,,,,,2.71
25,,18,,,,,1.87
25,,19,,,,,1.31
25,,20,,,,,4.47
25,,21,,,,,4.18
25,,22,,,,,0.45
25,,23,,,,,0.57
25,,24,,,,,3.33
25,,25,,,,,2.31
25,,26,,,,,0.27
25,,27,,,,,2.71
25,,28,,,,,1.57
25,,29,,,,,3.48
25,,30,,,,,2.01
25,,31,,,,,1.69
25,,32,,,,,2.23
25,,33,,,,,0.77
25,,34,,,,,0.01
25,,35,,,,,0.97
25,,36,,,,,1.82
25,,37,,,,,4.7
25,,38,,,,,4.46
25,,39,,,,,4.19
25,,40,-16.96,,6.38,6.14,4.79
26,,0,,,,,4.92
